Date,Open,High,Low,Close,Volume
31.01.2025,"236,50","240,29","236,41","237,68","36,16M"
30.01.2025,"237,14","237,95","232,22","234,64","32,02M"
29.01.2025,"239,01","240,39","236,15","237,07","26,09M"
28.01.2025,"234,29","241,77","233,98","238,15","41,59M"
27.01.2025,"226,21","235,61","225,86","235,42","49,43M"
24.01.2025,"234,50","236,40","232,93","234,85","25,89M"
23.01.2025,"234,10","235,52","231,51","235,42","26,40M"
22.01.2025,"232,02","235,44","231,19","235,01","41,45M"
21.01.2025,"228,90","231,78","226,94","230,71","39,95M"
17.01.2025,"225,84","226,51","223,08","225,94","42,37M"
16.01.2025,"224,42","224,65","220,31","220,66","24,76M"
15.01.2025,"222,83","223,57","220,75","223,35","31,29M"
14.01.2025,"220,44","221,82","216,20","217,76","24,71M"
13.01.2025,"218,06","219,40","216,47","218,46","27,26M"
10.01.2025,"221,46","221,71","216,50","218,94","36,81M"
08.01.2025,"223,18","223,52","220,20","222,13","25,03M"
07.01.2025,"227,90","228,38","221,46","222,11","28,08M"
06.01.2025,"226,78","228,84","224,84","227,61","31,85M"
03.01.2025,"222,51","225,36","221,62","224,19","27,52M"
02.01.2025,"222,03","225,15","218,19","220,22","33,96M"
31.12.2024,"222,96","223,23","218,94","219,39","24,82M"
30.12.2024,"220,06","223,00","218,43","221,30","28,32M"
27.12.2024,"225,60","226,03","220,90","223,75","27,37M"
26.12.2024,"228,50","228,50","226,67","227,05","16,17M"
24.12.2024,"226,94","229,14","226,13","229,05","15,01M"
23.12.2024,"225,01","226,88","223,90","225,06","28,07M"
20.12.2024,"219,84","226,21","218,73","224,92","88,28M"
19.12.2024,"224,91","226,09","222,92","223,29","39,92M"
18.12.2024,"230,77","231,40","220,11","220,52","43,28M"
17.12.2024,"232,39","232,73","227,85","231,15","35,95M"
16.12.2024,"230,23","233,00","228,01","232,93","37,55M"
13.12.2024,"228,40","230,20","225,86","227,46","28,77M"
12.12.2024,"229,83","231,09","227,63","228,97","28,20M"
11.12.2024,"226,41","231,20","226,26","230,26","35,39M"
10.12.2024,"226,09","229,06","224,20","225,04","31,20M"
09.12.2024,"227,21","230,08","225,67","226,09","46,82M"
06.12.2024,"220,75","227,15","220,60","227,03","44,18M"
05.12.2024,"218,03","222,15","217,30","220,55","41,14M"
