Date,Open,High,Low,Close,Volume,EMA_7,EMA_40,MACD,Signal_Line,MACD_Hist,RSI,ATR
2020-01-02,10280,10310,10060,10220,421720.0,10220,10220,0,0,0,43.909498708135246,276.42857142857144
2020-01-03,10170,10170,9960,10070,392820.0,10182,10212,-12,-2,-10,43.909498708135246,276.42857142857144
2020-01-06,10000,10140,9960,10110,382560.0,10164,10207,-18,-5,-13,43.909498708135246,276.42857142857144
2020-01-07,10150,10270,10090,10130,416400.0,10155,10203,-20,-8,-12,43.909498708135246,276.42857142857144
2020-01-08,10030,10350,9920,10350,1330000.0,10203,10210,-4,-7,3,43.909498708135246,276.42857142857144
2020-01-09,10450,10720,10300,10300,816660.0,10227,10214,4,-4,8,43.909498708135246,276.42857142857144
2020-01-10,10350,10420,10200,10380,390060.0,10265,10222,17,0,17,43.909498708135246,276.42857142857144
2020-01-13,10400,10610,10390,10600,458560.0,10348,10240,45,9,36,43.909498708135246,276.42857142857144
2020-01-14,10700,10870,10600,10820,1110000.0,10466,10268,83,23,60,43.909498708135246,276.42857142857144
2020-01-15,10840,10930,10750,10830,719090.0,10557,10295,113,41,72,43.909498708135246,276.42857142857144
2020-01-16,10840,10920,10730,10880,1140000.0,10637,10323,139,60,79,43.909498708135246,276.42857142857144
2020-01-17,10950,11350,10910,11280,1170000.0,10797,10369,190,86,104,43.909498708135246,276.42857142857144
2020-01-20,11300,11380,11060,11160,584470.0,10887,10407,218,112,106,43.909498708135246,276.42857142857144
2020-01-21,11080,11260,10960,11240,631650.0,10975,10447,244,138,106,43.909498708135246,276.42857142857144
2020-01-22,11220,11220,11020,11040,721040.0,10991,10475,246,159,87,43.909498708135246,276.42857142857144
2020-01-23,11000,11050,10830,10880,566470.0,10963,10494,231,173,58,40.45118680010258,272.3979591836735
2020-01-24,10940,11180,10940,11070,438570.0,10989,10522,233,185,48,45.90022031662054,274.3695335276968
2020-01-27,10920,10940,10750,10900,432780.0,10966,10540,218,191,27,42.18106816477604,277.6288525614327
2020-01-28,10930,10940,10700,10880,427330.0,10944,10556,202,193,9,41.75244382047811,274.94107737847327
2020-01-29,10840,10990,10780,10860,820950.0,10923,10570,186,191,-5,41.300484764325965,270.3024289942966
2020-01-30,10750,10760,10350,10440,652870.0,10802,10563,138,180,-42,33.17826340311754,287.4236840661325
2020-01-31,10460,10620,10320,10360,547830.0,10691,10553,92,162,-70,31.89172412193186,288.32199234712306
2020-02-03,10400,10450,10280,10440,530710.0,10628,10547,62,142,-80,34.62187437391617,279.8704214651857
2020-02-04,10570,10790,10520,10720,519970.0,10651,10555,60,125,-65,43.20335235991501,284.8796770748153
2020-02-05,10750,11110,10730,10930,666810.0,10720,10573,75,115,-40,48.64758241141422,292.3882715694713
2020-02-06,10990,11130,10940,11090,389600.0,10812,10598,98,111,-13,52.391958417630164,285.7891093145091
2020-02-07,11060,11060,10840,11020,311340.0,10864,10618,110,110,0,50.65184882133206,283.23274436347276
2020-02-10,10960,11070,10880,10970,304200.0,10890,10635,113,110,3,49.38999910247763,276.5732626232247
2020-02-11,11030,11260,10950,11260,595290.0,10982,10665,138,115,23,56.20477762628335,278.96088672156577
2020-02-12,11280,11350,11160,11350,540330.0,11074,10698,164,124,40,58.09082961496173,272.6065376700254
2020-02-13,11260,11260,10880,10930,835910.0,11038,10709,148,128,20,47.75515854548902,286.706070693595
2020-02-14,10950,11020,10880,10900,643570.0,11003,10718,132,128,4,47.11038911344504,276.2270656440525
2020-02-17,10990,11010,10860,10960,268850.0,10992,10729,122,126,-4,48.60497176393962,267.21084666947735
2020-02-18,10860,10860,10730,10740,447400.0,10929,10729,96,120,-24,43.72582693081724,264.55292905022895
2020-02-19,10840,10840,10680,10760,448730.0,10886,10730,75,111,-36,44.27349424867939,257.0848626894983
2020-02-20,10770,10870,10680,10690,376310.0,10837,10728,53,99,-46,42.706893210638604,252.2930867831056
2020-02-21,10650,10670,10380,10430,882190.0,10735,10713,15,82,-67,37.41169750568104,256.4150091557409
2020-02-24,10150,10160,9955,10070,774120.0,10568,10681,-44,56,-100,31.574160063024777,272.0282227874737
2020-02-25,10120,10160,9610,9610,879150.0,10328,10628,-127,19,-146,25.993061274028506,291.88334973122556
2020-02-26,9580,9760,9360,9690,1240000.0,10168,10582,-184,-21,-163,28.364611690409575,299.6059676075666
2020-02-27,9650,9650,9170,9400,961140.0,9976,10524,-249,-66,-183,25.210777510698804,315.3483984927404
2020-02-28,9100,9880,9060,9870,1640000.0,9949,10492,-260,-104,-156,37.36585448428828,351.39494145754463
2020-03-02,9960,10110,9400,9820,1370000.0,9916,10459,-269,-137,-132,36.68282677929979,377.0095884962915
2020-03-03,9980,10480,9950,10180,1130000.0,9982,10445,-245,-158,-87,44.54307667305963,397.223189317985
2020-03-04,10220,10300,9960,10070,997860.0,10004,10426,-232,-172,-60,42.79491392823761,393.13581865241457
2020-03-05,10140,10300,9955,10260,1480000.0,10068,10417,-204,-178,-26,46.686982747026626,389.6975458915278
2020-03-06,10080,10080,9500,9660,1740000.0,9966,10380,-228,-188,-40,37.914319383045324,416.1477211849901
2020-03-09,9180,9500,8955,9320,1980000.0,9804,10328,-271,-204,-67,34.013955340775496,436.7800268146337
2020-03-10,9390,9715,9155,9190,1680000.0,9650,10272,-312,-225,-87,32.631692606307524,445.58145347073133
2020-03-11,9240,9375,8300,8335,1710000.0,9321,10177,-408,-261,-147,25.338446183577304,490.5399210799648
2020-03-12,8025,8235,7255,7290,1990000.0,8813,10036,-562,-321,-241,19.578734312021325,532.6442124313959
2020-03-13,7540,8540,7445,7825,1120000.0,8566,9928,-633,-383,-250,28.535171965288114,583.883911543439
2020-03-16,7400,7535,6815,7420,1350000.0,8279,9805,-714,-449,-265,26.16003505176886,614.320775004622
2020-03-17,7945,8070,7080,7460,985530.0,8074,9690,-767,-512,-255,26.808014653147126,641.1550053614347
2020-03-18,7110,7555,6945,7080,922900.0,7825,9562,-830,-575,-255,24.59948070008474,638.929647835618
2020-03-19,7420,8150,7115,8150,628360.0,7906,9493,-785,-617,-168,39.670816327367525,669.720387275931
2020-03-20,8630,8690,7450,7620,601250.0,7834,9401,-782,-650,-132,35.848511592366734,710.4546453276502
2020-03-23,7420,7445,7005,7055,827740.0,7639,9286,-816,-683,-133,32.2780917716515,703.6364563756752
2020-03-24,7405,7425,7150,7350,918620.0,7566,9191,-810,-708,-102,35.869549023548444,679.8052809202699
2020-03-25,7675,7870,7265,7870,584240.0,7642,9126,-754,-717,-37,41.735170158148364,674.4620465688221
2020-03-26,7780,8205,7655,8205,537270.0,7782,9081,-675,-708,33,45.211833420486364,665.5719003853347
2020-03-27,8015,8350,7755,7945,291470.0,7822,9025,-626,-691,65,43.064079413441796,660.5310503578108
2020-03-30,7950,7950,7325,7450,504160.0,7729,8948,-620,-676,56,39.24199694818697,657.9931181893959
