"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"28.01.2025","20.303,0","20.398,5","20.453,5","20.229,0","","-0,62%"
"27.01.2025","20.430,5","20.124,0","20.529,5","20.091,5","","1,43%"
"24.01.2025","20.142,5","19.806,5","20.209,0","19.789,0","","1,73%"
"23.01.2025","19.799,0","19.947,0","20.082,5","19.665,0","","-0,63%"
"22.01.2025","19.924,5","20.006,0","20.074,5","19.767,0","","-0,54%"
"21.01.2025","20.032,5","20.179,0","20.261,5","19.901,5","","-1,28%"
"20.01.2025","20.292,0","19.860,5","20.409,0","19.818,5","","2,29%"
"17.01.2025","19.837,5","19.474,0","20.007,0","19.438,0","","1,81%"
"16.01.2025","19.484,0","19.445,0","19.709,0","19.369,5","","0,89%"
"15.01.2025","19.312,0","19.261,0","19.349,0","19.171,0","65,73K","0,32%"
"14.01.2025","19.250,0","18.885,0","19.366,0","18.813,0","98,75K","1,88%"
"13.01.2025","18.894,0","19.098,0","19.135,0","18.694,0","97,83K","-1,13%"
"10.01.2025","19.109,0","19.315,0","19.397,0","19.055,0","80,94K","-1,02%"
"09.01.2025","19.306,0","19.303,0","19.430,0","19.114,0","70,25K","0,03%"
"08.01.2025","19.300,0","19.500,0","19.575,0","19.136,0","94,22K","-0,89%"
"07.01.2025","19.473,0","19.739,0","20.179,0","19.270,0","134,74K","-1,34%"
"06.01.2025","19.737,0","19.754,0","19.919,0","19.655,0","73,15K","-0,06%"
"03.01.2025","19.748,0","19.626,0","19.937,0","19.551,0","99,36K","0,68%"
"02.01.2025","19.615,0","20.073,0","20.074,0","19.558,0","102,37K","-2,35%"
"31.12.2024","20.087,0","20.033,0","20.185,0","19.883,0","41,63K","0,34%"
"30.12.2024","20.019,0","20.100,0","20.215,0","19.966,0","73,49K","-0,42%"
"27.12.2024","20.103,0","20.239,0","20.239,0","20.021,0","61,04K","-0,46%"
"24.12.2024","20.196,0","19.932,0","20.213,0","19.837,0","30,23K","1,36%"
"23.12.2024","19.925,0","19.665,0","19.978,0","19.650,0","81,95K","1,14%"
"20.12.2024","19.700,0","19.809,0","19.901,0","19.666,0","17,12K","-0,46%"
"19.12.2024","19.792,0","19.920,0","19.930,0","19.588,0","5,39K","-0,55%"
"18.12.2024","19.901,0","19.791,0","20.025,0","19.746,0","1,19K","0,69%"
"17.12.2024","19.764,0","19.849,0","19.999,0","19.668,0","1,55K","-0,49%"
"16.12.2024","19.862,0","20.027,0","20.107,0","19.788,0","0,68K","-0,96%"
"13.12.2024","20.054,0","20.536,0","20.587,0","19.970,0","1,26K","-2,18%"
"12.12.2024","20.500,0","20.200,0","20.624,0","20.158,0","0,86K","1,23%"
"11.12.2024","20.250,0","20.470,0","20.580,0","20.199,0","0,91K","-1,07%"
"10.12.2024","20.469,0","20.898,0","21.407,0","20.396,0","2,59K","-1,01%"
"09.12.2024","20.678,0","19.956,0","20.694,0","19.758,0","3,99K","3,62%"
"06.12.2024","19.956,0","19.652,0","20.011,0","19.632,0","1,23K","1,52%"
"05.12.2024","19.657,0","19.775,0","19.809,0","19.526,0","0,31K","-0,73%"
"04.12.2024","19.801,0","19.824,0","19.895,0","19.689,0","0,99K","-0,15%"
"03.12.2024","19.831,0","19.643,0","19.838,0","19.450,0","0,76K","0,97%"
"02.12.2024","19.641,0","19.558,0","19.775,0","19.476,0","2,39K","0,64%"
"29.11.2024","19.516,0","19.532,0","19.730,0","19.405,0","0,55K","1,00%"
"28.11.2024","19.323,0","19.900,0","19.900,0","18.684,0","0,08K","-1,59%"
"27.11.2024","19.635,0","19.606,0","19.635,0","19.250,0","0,01K","0,15%"
"26.11.2024","19.606,0","19.606,0","19.606,0","19.606,0","0,01K","1,55%"
"25.11.2024","19.307,5","19.395,0","19.439,0","19.164,0","","0,54%"
"22.11.2024","19.204,5","19.641,5","19.724,5","19.042,5","","-1,99%"
"21.11.2024","19.593,5","19.625,5","19.786,0","19.495,0","","-0,12%"
"20.11.2024","19.617,0","19.596,0","19.778,5","19.584,0","","-0,42%"
"19.11.2024","19.700,0","19.740,0","19.791,0","19.415,0","2,00K","-0,33%"
"18.11.2024","19.764,5","19.567,0","19.798,5","19.487,5","","1,63%"
"15.11.2024","19.448,0","19.511,5","19.625,5","19.341,0","","-0,07%"
"14.11.2024","19.462,5","19.615,0","19.857,0","19.359,5","","-0,75%"
"13.11.2024","19.609,5","19.641,5","19.974,5","19.585,0","","-0,12%"
"12.11.2024","19.633,0","20.320,5","20.547,0","19.569,0","","-3,44%"
"11.11.2024","20.333,0","20.333,0","20.333,0","20.333,0","0,00K","-1,77%"
"08.11.2024","20.700,0","20.700,0","20.700,0","20.700,0","0,00K","-0,90%"
"07.11.2024","20.888,0","20.194,0","21.123,0","20.194,0","0,00K","0,27%"
"06.11.2024","20.831,0","20.831,0","20.831,0","20.831,0","0,00K","-0,56%"
"05.11.2024","20.948,0","20.513,5","21.058,0","20.376,0","","1,90%"
"04.11.2024","20.556,5","20.549,0","20.755,0","20.455,0","","0,34%"
"01.11.2024","20.486,0","20.429,0","20.704,0","20.383,0","","-0,55%"
"31.10.2024","20.600,0","20.600,0","20.600,0","20.600,0","0,00K","0,42%"
"30.10.2024","20.513,5","20.798,0","20.798,0","20.289,0","","-1,35%"
"29.10.2024","20.795,0","20.744,0","21.175,0","20.606,5","","0,03%"
"28.10.2024","20.788,5","20.661,0","20.860,0","20.463,0","","1,34%"
"25.10.2024","20.514,5","20.483,5","20.787,0","20.466,0","","0,49%"
"24.10.2024","20.415,0","20.561,5","20.692,0","20.285,0","","-0,50%"
"23.10.2024","20.517,5","20.579,0","20.951,5","20.455,0","","-0,50%"
"22.10.2024","20.621,5","20.316,0","20.744,0","20.311,0","","1,06%"
"21.10.2024","20.405,0","20.840,0","20.863,0","20.279,0","","-2,31%"
"18.10.2024","20.888,0","20.108,0","20.888,0","20.108,0","0,01K","2,99%"
"17.10.2024","20.281,0","20.600,0","20.600,0","20.281,0","0,00K","-0,96%"
"16.10.2024","20.478,0","20.180,0","20.591,5","20.153,0","","-1,02%"
"15.10.2024","20.690,0","20.690,0","20.690,0","20.690,0","0,00K","-3,75%"
"14.10.2024","21.495,0","21.495,0","21.495,0","21.495,0","0,00K","-0,84%"
"10.10.2024","21.678,0","21.115,0","21.678,0","21.115,0","0,00K","0,42%"
"09.10.2024","21.588,0","21.588,0","21.588,0","21.588,0","0,00K","1,43%"
"08.10.2024","21.283,0","22.308,0","22.408,0","21.283,0","0,01K","-8,21%"
"07.10.2024","23.187,0","22.969,5","23.332,5","22.791,0","","2,56%"
"04.10.2024","22.608,5","21.980,5","22.883,0","21.879,0","","1,35%"
"03.10.2024","22.308,0","22.165,0","22.308,0","21.800,0","0,01K","-0,73%"
"02.10.2024","22.473,0","21.394,0","22.732,0","21.394,0","0,01K","5,63%"
"30.09.2024","21.275,0","20.924,0","21.593,0","20.616,0","279,70K","3,95%"
"27.09.2024","20.467,0","20.023,0","20.689,0","20.006,0","65,92K","2,19%"
"26.09.2024","20.028,0","19.203,0","20.028,0","19.147,0","173,71K","4,42%"
"25.09.2024","19.180,0","19.088,0","19.767,0","19.069,0","238,15K","0,49%"
"24.09.2024","19.087,0","18.267,0","19.094,0","18.253,0","242,37K","4,48%"
"23.09.2024","18.268,0","18.285,0","18.450,0","18.166,0","124,60K","0,00%"
"20.09.2024","18.268,0","18.061,0","18.378,0","17.956,0","144,51K","1,21%"
"19.09.2024","18.050,0","17.677,0","18.098,0","17.601,0","128,47K","2,11%"
"17.09.2024","17.677,0","17.450,0","17.744,0","17.395,0","81,79K","1,30%"
"16.09.2024","17.450,0","17.377,0","17.451,0","17.188,0","65,00K","0,39%"
"13.09.2024","17.382,0","17.255,0","17.573,0","17.166,0","86,52K","0,68%"
"12.09.2024","17.265,0","17.085,0","17.356,0","17.019,0","92,49K","1,05%"
"11.09.2024","17.086,0","17.189,0","17.195,0","16.948,0","99,46K","-0,61%"
"10.09.2024","17.191,0","17.154,0","17.290,0","17.093,0","77,73K","0,30%"
"09.09.2024","17.140,0","17.250,0","17.312,0","17.059,0","85,48K","-1,74%"
"05.09.2024","17.443,0","17.442,0","17.546,0","17.310,0","81,14K","0,09%"
"04.09.2024","17.428,0","17.594,0","17.594,0","17.297,0","105,58K","-0,95%"
"03.09.2024","17.596,0","17.647,0","17.694,0","17.539,0","67,78K","-0,26%"
"02.09.2024","17.642,0","17.952,0","17.969,0","17.586,0","107,61K","-1,73%"
"30.08.2024","17.952,0","17.723,0","18.159,0","17.690,0","130,82K","1,72%"
"29.08.2024","17.648,0","17.711,0","17.808,0","17.517,0","16,27K","-0,34%"
"28.08.2024","17.709,0","17.910,0","17.934,0","17.662,0","112,37K","-1,13%"
"27.08.2024","17.912,0","17.810,0","17.922,0","17.633,0","138,95K","0,58%"
"26.08.2024","17.808,0","17.635,0","17.849,0","17.589,0","128,66K","0,98%"
"23.08.2024","17.636,0","17.661,0","17.662,0","17.445,0","87,22K","-0,14%"
"22.08.2024","17.660,0","17.375,0","17.683,0","17.372,0","94,23K","1,65%"
"21.08.2024","17.374,0","17.533,0","17.534,0","17.251,0","94,01K","-0,91%"
"20.08.2024","17.533,0","17.606,0","17.775,0","17.464,0","77,31K","-0,44%"
"19.08.2024","17.610,0","17.426,0","17.718,0","17.354,0","94,25K","1,06%"
"16.08.2024","17.425,0","17.125,0","17.501,0","17.105,0","109,13K","1,73%"
"15.08.2024","17.128,0","17.129,0","17.318,0","16.920,0","104,68K","-0,01%"
"14.08.2024","17.129,0","17.162,0","17.291,0","17.055,0","75,16K","-0,35%"
"13.08.2024","17.190,0","17.077,0","17.258,0","17.051,0","79,06K","0,53%"
"12.08.2024","17.100,0","17.079,0","17.167,0","16.975,0","72,77K","0,13%"
"09.08.2024","17.078,0","16.890,0","17.264,0","16.874,0","100,71K","1,13%"
"08.08.2024","16.888,0","16.898,0","17.033,0","16.648,0","116,38K","-0,04%"
"07.08.2024","16.895,0","16.610,0","17.003,0","16.500,0","116,08K","1,68%"
"06.08.2024","16.616,0","16.740,0","16.935,0","16.508,0","116,94K","-0,73%"
"05.08.2024","16.739,0","16.962,0","17.019,0","16.437,0","163,69K","-1,32%"
"02.08.2024","16.963,0","17.315,0","17.347,0","16.877,0","112,85K","-2,03%"
"01.08.2024","17.314,0","17.349,0","17.448,0","17.252,0","91,19K","-0,22%"
"31.07.2024","17.353,0","17.024,0","17.431,0","17.021,0","117,03K","1,91%"
"30.07.2024","17.028,0","17.253,0","17.272,0","17.006,0","14,08K","-1,31%"
"29.07.2024","17.254,0","17.023,0","17.381,0","16.986,0","115,91K","1,32%"
"26.07.2024","17.030,0","17.031,0","17.233,0","16.930,0","174,01K","0,00%"
"25.07.2024","17.030,0","17.348,0","17.433,0","16.975,0","151,36K","-1,81%"
"24.07.2024","17.344,0","17.501,0","17.532,0","17.268,0","97,09K","-0,87%"
"23.07.2024","17.496,0","17.663,0","17.775,0","17.458,0","88,87K","-0,94%"
"22.07.2024","17.662,0","17.442,0","17.716,0","17.319,0","108,31K","1,29%"
"19.07.2024","17.437,0","17.809,0","17.822,0","17.379,0","111,87K","-2,09%"
"18.07.2024","17.809,0","17.746,0","17.894,0","17.634,0","98,55K","0,38%"
"17.07.2024","17.741,0","17.746,0","17.853,0","17.653,0","93,57K","-0,05%"
"16.07.2024","17.750,0","18.061,0","18.066,0","17.733,0","96,30K","-1,67%"
"15.07.2024","18.051,0","18.368,0","18.424,0","17.966,0","98,28K","-1,73%"
"12.07.2024","18.369,0","17.856,0","18.380,0","17.838,0","117,13K","2,85%"
"11.07.2024","17.860,0","17.507,0","17.904,0","17.506,0","101,41K","2,03%"
"10.07.2024","17.505,0","17.532,0","17.809,0","17.449,0","93,45K","-0,16%"
"09.07.2024","17.533,0","17.580,0","17.661,0","17.403,0","99,19K","-0,27%"
"08.07.2024","17.581,0","17.746,0","17.764,0","17.492,0","95,02K","-0,90%"
"05.07.2024","17.741,0","18.022,0","18.068,0","17.729,0","90,20K","-1,54%"
"04.07.2024","18.019,0","17.864,0","18.112,0","17.861,0","93,01K","0,95%"
