"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.01.2025","18,550","18,480","18,620","18,390","319,55K","0,71%"
"30.01.2025","18,420","18,480","18,580","18,420","368,53K","-0,32%"
"29.01.2025","18,480","18,540","18,550","18,380","504,36K","0,87%"
"28.01.2025","18,320","18,390","18,540","18,250","442,30K","-0,33%"
"27.01.2025","18,380","18,020","18,490","17,710","601,48K","0,93%"
"24.01.2025","18,210","18,980","18,980","18,190","971,83K","-3,75%"
"23.01.2025","18,920","19,030","19,060","18,810","452,88K","-0,21%"
"22.01.2025","18,960","18,770","19,150","18,680","660,27K","1,61%"
"21.01.2025","18,660","18,640","18,680","18,480","433,68K","0,38%"
"20.01.2025","18,590","18,220","18,780","18,170","863,22K","2,93%"
"17.01.2025","18,060","17,890","18,110","17,890","402,48K","0,95%"
"16.01.2025","17,890","17,850","17,950","17,780","312,33K","0,62%"
"15.01.2025","17,780","17,760","17,890","17,590","386,36K","0,00%"
"14.01.2025","17,780","17,830","18,040","17,670","440,12K","-0,11%"
"13.01.2025","17,800","17,930","17,960","17,320","467,33K","-1,06%"
"10.01.2025","17,990","18,090","18,200","17,900","367,46K","-0,44%"
"09.01.2025","18,070","17,960","18,080","17,770","456,99K","0,78%"
"08.01.2025","17,930","17,850","18,070","17,760","468,73K","0,56%"
"07.01.2025","17,830","17,670","17,870","17,550","470,24K","1,54%"
"06.01.2025","17,560","17,690","17,730","17,490","409,37K","-0,34%"
"03.01.2025","17,620","17,290","17,840","17,260","449,02K","2,44%"
"02.01.2025","17,200","17,090","17,480","17,050","381,23K","0,70%"
"31.12.2024","17,080","17,010","17,090","16,980","122,83K","0,71%"
"30.12.2024","16,960","16,880","17,090","16,780","362,28K","0,53%"
"27.12.2024","16,870","16,700","17,080","16,670","306,25K","1,44%"
"24.12.2024","16,630","16,600","16,660","16,540","124,20K","0,36%"
"23.12.2024","16,570","16,400","16,570","16,310","247,14K","1,16%"
"20.12.2024","16,380","16,420","16,450","16,110","1,70M","-0,49%"
"19.12.2024","16,460","16,370","16,520","16,240","484,80K","-1,02%"
"18.12.2024","16,630","16,610","16,710","16,360","343,77K","0,12%"
"17.12.2024","16,610","17,070","17,070","16,430","696,89K","-2,98%"
