Ticker,Model,MAE,RMSE,R2
AMAZON,Long Short-Term Memory,4.5752,5.7316,0.9283
AMAZON,Random Forest,7.2932,15.1142,0.7244
AMAZON,Ridge Regression,10.3103,12.8969,0.5283
AMAZON,Support Vector Regression,1.5696,2.2250,0.9859
AMAZON,Gated Recurrent Neural Network,10.9723,14.0063,0.5735
AMAZON,Híbrido LSTM+XGBoost,3.2784,4.2841,0.9597
GOOGLE,Long Short-Term Memory,3.3198,4.3153,0.9061
GOOGLE,Random Forest,14.0345,20.6791,0.0124
GOOGLE,Ridge Regression,8.0266,9.9239,0.3348
GOOGLE,Support Vector Regression,2.1135,2.6495,0.9526
GOOGLE,Gated Recurrent Neural Network,4.6573,5.9024,0.8257
GOOGLE,Híbrido LSTM+XGBoost,2.2545,2.8637,0.9592
EURO_STOXX_50,Long Short-Term Memory,51.0807,64.9371,0.7725
EURO_STOXX_50,Random Forest,367.1521,446.9396,-1.001
EURO_STOXX_50,Ridge Regression,109.3853,134.9289,-0.2169
EURO_STOXX_50,Support Vector Regression,34.6572,37.2942,0.9061
EURO_STOXX_50,Gated Recurrent Neural Network,39.2246,50.9519,0.8598
EURO_STOXX_50,Híbrido LSTM+XGBoost,25.9500,32.4364,0.9418
HANG_SENG,Long Short-Term Memory,348.2260,482.8291,0.8913
HANG_SENG,Random Forest,151.2366,204.1381,0.9873
HANG_SENG,Ridge Regression,813.4717,1204.0293,0.2192
HANG_SENG,Support Vector Regression,104.5009,161.5884,0.9861
HANG_SENG,Gated Recurrent Neural Network,491.8284,635.4129,0.8095
HANG_SENG,Híbrido LSTM+XGBoost,207.8854,312.8780,0.9534
IBEX_35,Long Short-Term Memory,112.6017,139.6788,0.8667
IBEX_35,Random Forest,836.4639,1105.6703,-0.4710
IBEX_35,Ridge Regression,402.3997,468.3994,-0.4765
IBEX_35,Support Vector Regression,165.6506,179.8551,0.7823
IBEX_35,Gated Recurrent Neural Network,126.8956,149.5815,0.8410
IBEX_35,Híbrido LSTM+XGBoost,79.8748,96.5862,0.9286
INDRA,Long Short-Term Memory,234.5538,313.4665,0.7487
INDRA,Random Forest,3887.6871,4533.0646,-2.7771
INDRA,Ridge Regression,777.7638,1012.0231,0.6015
INDRA,Support Vector Regression,554.0426,703.2707,0.8036
INDRA,Gated Recurrent Neural Network,370.6862,482.7811,0.4029
INDRA,Híbrido LSTM+XGBoost,171.6423,226.0883,0.8700
P&G,Long Short-Term Memory,2.1416,2.6764,0.6456
P&G,Random Forest,3.2545,5.0548,0.6808
P&G,Ridge Regression,4.3084,5.2440,-0.5554
P&G,Support Vector Regression,0.3889,0.4665,0.9879
P&G,Gated Recurrent Neural Network,1.7199,2.2272,0.7549
P&G,Híbrido LSTM+XGBoost,1.1756,1.5142,0.8876
S&P500,Long Short-Term Memory,71.1080,90.2894,0.8303
S&P500,Random Forest,505.1915,676.4666,-0.4249
S&P500,Ridge Regression,153.1395,181.2726,0.5791
S&P500,Support Vector Regression,14.6333,18.4516,0.9957
S&P500,Gated Recurrent Neural Network,148.7868,172.7577,0.37052
S&P500,Híbrido LSTM+XGBoost,73.3193,86.9409,0.8360
