Ticker,Model,MAE,RMSE,R2
AMAZON,LSTM,4.5752,5.7316,0.9283
AMAZON,Random Forest,7.2932,15.1193,0.7244
AMAZON,Ridge,10.3103,12.9021,0.5283
AMAZON,SVR,1.5236,4.1463,0.9882
AMAZON,GRU,10.9723,14.0063,0.5735
AMAZON,Hybrid LSTM+XGBoost,4.5287,5.7489,0.9278
GOOGLE,LSTM,3.3198,4.3153,0.9061
GOOGLE,Random Forest,14.0345,20.6791,0.0124
GOOGLE,Ridge,8.0266,9.9254,0.3349
GOOGLE,SVR,1.7877,5.0168,0.9661
GOOGLE,GRU,4.6573,5.9024,0.8257
GOOGLE,Hybrid LSTM+XGBoost,3.3204,4.3075,0.9065
EURO STOXX 50,LSTM,51.0807,64.9371,0.7725
EURO STOXX 50,Random Forest,384.4378,464.5851,-1.1641
EURO STOXX 50,Ridge,109.3853,134.9381,-0.2169
EURO STOXX 50,SVR,37.6971,1722.444,0.8848
EURO STOXX 50,GRU,39.2246,50.9519,0.8598
EURO STOXX 50,Hybrid LSTM+XGBoost,45.9458,57.86,0.8193
HANG SENG,LSTM,348.226,482.8291,0.8913
HANG SENG,Random Forest,151.2366,204.1381,0.9873
HANG SENG,Ridge,813.4717,1203.2031,0.2192
HANG SENG,SVR,89.9269,15549.9992,0.9916
HANG SENG,GRU,491.8284,635.4129,0.8095
HANG SENG,Hybrid LSTM+XGBoost,313.5255,443.1859,0.9085
IBEX 35,LSTM,112.6017,139.6788,0.8667
IBEX 35,Random Forest,867.4325,1140.3912,-0.471
IBEX 35,Ridge,402.3997,468.5534,-0.4766
IBEX 35,SVR,165.6506,32347.8897,0.7823
IBEX 35,GRU,126.8956,149.5815,0.841
IBEX 35,Hybrid LSTM+XGBoost,120.9787,147.3662,0.8516
INDRA,LSTM,234.5538,313.4665,0.7487
INDRA,Random Forest,3971.8437,4602.03,-2.7771
INDRA,Ridge,777.6753,1007.0001,0.6014
INDRA,SVR,646.2222,625524.7112,0.7529
INDRA,GRU,370.6862,482.7811,0.4029
INDRA,Hybrid LSTM+XGBoost,473.6909,539.1289,0.2565
P&G,LSTM,2.1416,2.6764,0.6456
P&G,Random Forest,3.4877,5.32,0.6808
P&G,Ridge,4.3084,5.2441,-0.5554
P&G,SVR,0.6599,0.6731,0.9619
P&G,GRU,1.7199,2.2272,0.7549
P&G,Hybrid LSTM+XGBoost,3.0134,3.5953,0.3604
S&P 500,LSTM,71.108,90.2894,0.8303
S&P 500,Random Forest,505.1915,676.6452,-0.4249
S&P 500,Ridge,153.1395,181.2798,0.5791
S&P 500,SVR,59.7963,4651.9613,0.9404
S&P 500,GRU,148.7868,172.7577,0.3705
S&P 500,Hybrid LSTM+XGBoost,99.7192,116.6878,0.7165
